preflight	2026-09-23T09:39:38	2026-09-23T09:39:43	5	reboot=0 pin=1
install	2026-09-23T09:39:43	2026-09-23T09:39:43	0	verify_only=1
gate3-monolith	2026-09-23T09:39:44	2026-09-23T09:39:59	15	2 cases
gate3-inproc	2026-09-23T09:39:59	2026-09-23T09:40:15	16	2 cases
gate3-spawn	2026-09-23T09:40:15	2026-09-23T09:40:30	15	2 cases
gate3-inproc-ra0	2026-09-23T09:40:31	2026-09-23T09:40:46	15	2 cases
gate3	2026-09-23T09:39:43	2026-09-23T09:40:46	63
bsl-inproc	2026-09-23T09:40:48	2026-09-23T09:41:01	13
bsl	2026-09-23T09:40:47	2026-09-23T09:41:05	18
cts-dsa	2026-09-23T09:41:08	2026-09-23T09:41:09	1	limit=20
cts	2026-09-23T09:41:05	2026-09-23T09:41:10	5	blocks=[dsa] limit=20
restore	2026-09-23T09:41:16	2026-09-23T09:41:23	7
