build-apk	2026-09-23T19:35:24	2026-09-23T19:36:52	88
build-host	2026-09-23T19:36:52	2026-09-23T19:38:52	120
build	2026-09-23T19:35:17	2026-09-23T19:38:52	215	all
preflight	2026-09-23T19:38:52	2026-09-23T19:39:41	49	reboot=1 pin=1
install	2026-09-23T19:39:41	2026-09-23T19:39:42	1	verify_only=0
gate3-monolith	2026-09-23T19:39:43	2026-09-23T20:01:07	1284	36 cases
gate3-inproc	2026-09-23T20:01:08	2026-09-23T20:16:37	929	36 cases
gate3-spawn	2026-09-23T20:16:37	2026-09-23T20:34:20	1063	36 cases
gate3-inproc-ra0	2026-09-23T20:34:21	2026-09-23T20:40:15	354	36 cases
gate3	2026-09-23T19:39:42	2026-09-23T20:40:15	3633	incomplete=0
bsl-inproc	2026-09-23T20:40:18	2026-09-23T20:40:32	14
bsl-spawn	2026-09-23T20:40:38	2026-09-23T20:40:52	14
bsl	2026-09-23T20:40:16	2026-09-23T20:40:56	40
cts-shader-image	2026-09-23T20:40:59	2026-09-23T20:41:07	8	limit=0
cts-ssbo	2026-09-23T20:41:08	2026-09-23T20:41:12	4	limit=0
cts-dsa	2026-09-23T20:41:13	2026-09-23T20:41:21	8	limit=0
cts-texture	2026-09-23T20:41:22	2026-09-23T20:43:09	107	limit=0
cts-packed-pixels	2026-09-23T20:43:10	2026-09-23T20:46:59	229	limit=0
cts	2026-09-23T20:40:56	2026-09-23T20:46:59	363	blocks=[shader-image ssbo dsa texture packed-pixels] limit=0 incomplete=0
restore	2026-09-23T20:49:59	2026-09-23T20:50:07	8
