build-apk	2026-09-23T15:53:11	2026-09-23T15:54:46	95
build-host	2026-09-23T15:54:46	2026-09-23T15:56:38	112
build	2026-09-23T15:53:10	2026-09-23T15:56:38	208	all
preflight	2026-09-23T15:56:38	2026-09-23T15:57:29	51	reboot=1 pin=1
install	2026-09-23T15:57:29	2026-09-23T15:57:31	2	verify_only=0
gate3-monolith	2026-09-23T15:57:31	2026-09-23T16:02:31	300	36 cases
gate3-inproc	2026-09-23T16:02:31	2026-09-23T16:17:53	922	36 cases
gate3-spawn	2026-09-23T16:17:54	2026-09-23T16:33:27	933	36 cases
gate3-inproc-ra0	2026-09-23T16:33:27	2026-09-23T16:39:20	353	36 cases
gate3	2026-09-23T15:57:31	2026-09-23T16:39:20	2509	incomplete=0
bsl-inproc	2026-09-23T16:39:23	2026-09-23T16:39:37	14
bsl-spawn	2026-09-23T16:39:43	2026-09-23T16:39:57	14
bsl	2026-09-23T16:39:21	2026-09-23T16:40:00	39
cts-shader-image	2026-09-23T16:40:03	2026-09-23T16:40:11	8	limit=0
cts-ssbo	2026-09-23T16:40:12	2026-09-23T16:40:16	4	limit=0
cts-dsa	2026-09-23T16:40:17	2026-09-23T16:40:26	9	limit=0
cts-texture	2026-09-23T16:40:27	2026-09-23T16:42:13	106	limit=0
cts-packed-pixels	2026-09-23T16:42:14	2026-09-23T16:46:03	229	limit=0
cts	2026-09-23T16:40:00	2026-09-23T16:46:03	363	blocks=[shader-image ssbo dsa texture packed-pixels] limit=0 incomplete=0
restore	2026-09-23T16:48:04	2026-09-23T16:48:12	8
